Date,Open,High,Low,Close,Adj Close,Volume
2012-12-24,130.539993,130.679993,128.139999,128.179993,106.458076,1907150
2012-12-31,127.919998,134.220001,127.800003,134.039993,112.125389,5152050
2013-01-07,133.539993,134.720001,132.759995,134.720001,112.694260,3359450
2013-01-14,134.559998,135.960007,133.880005,135.880005,113.664604,4094400
2013-01-21,135.860001,137.580002,135.520004,137.580002,115.086647,4520100
2013-01-28,137.639999,138.660004,136.960007,138.440002,115.806023,5321450
2013-02-04,137.679993,139.080002,136.860001,139.020004,116.291245,2294750
2013-02-11,139.000000,139.740005,138.679993,139.320007,116.542198,2366550
2013-02-18,139.539993,140.360001,137.320007,139.080002,116.341408,4159700
2013-02-25,139.820007,139.979996,136.220001,139.300003,116.525444,7385400
2013-03-04,139.000000,142.539993,138.779999,142.360001,119.085175,4122100
2013-03-11,142.279999,143.619995,142.080002,143.320007,119.888222,2745050
2013-03-18,142.000000,143.419998,141.300003,142.380005,119.101921,3452550
2013-03-25,142.860001,143.619995,141.320007,143.279999,120.422859,2749300
2013-04-01,143.399994,144.199997,140.800003,142.139999,119.464729,3806600
2013-04-08,142.199997,146.220001,141.699997,145.460007,122.255096,3486800
2013-04-15,144.679993,144.779999,140.580002,142.360001,119.649628,6811400
2013-04-22,142.639999,145.839996,141.699997,144.880005,121.767624,3738900
2013-04-29,145.300003,148.240005,144.779999,147.639999,124.087311,2348350
2013-05-06,147.899994,149.919998,147.820007,149.720001,125.835518,2455300
2013-05-13,149.479996,152.979996,149.119995,152.880005,128.491409,3616100
2013-05-20,152.759995,154.860001,150.139999,151.320007,127.180275,3944200
2013-05-27,153.139999,153.679993,149.500000,149.679993,125.801872,2707600
2013-06-03,150.059998,151.220001,146.759995,150.940002,126.860855,5952350
2013-06-10,151.460007,151.460007,147.720001,149.399994,125.566521,6855150
2013-06-17,150.479996,152.000000,144.979996,146.399994,123.045097,6323950
2013-06-24,144.199997,148.240005,142.660004,146.679993,123.280495,6877900
2013-07-01,147.740005,149.399994,146.759995,149.339996,126.152054,3742850
2013-07-08,150.119995,153.779999,149.839996,153.479996,129.649246,4669900
2013-07-15,153.839996,155.059998,153.039993,155.000000,130.933273,2845500
2013-07-22,155.199997,155.619995,153.460007,154.860001,130.814987,3436000
2013-07-29,154.520004,156.600006,153.979996,156.580002,132.267899,3048100
